"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC03 - Update Product Images","firefox","Fri Oct 17 16:48:17 IST 2025","skipped","Fri Oct 17 16:48:17 IST 2025","$@p1 Product CRUD Operations","productCRUD.spec.ts","",""
"","5055","Signup page and Admin validation","","Thu Sep 25 11:50:46 IST 2025","broken","Thu Sep 25 11:50:51 IST 2025","","","",""
"","18307","TC01 - Create Product","chromium","Fri Oct 17 16:47:56 IST 2025","failed","Fri Oct 17 16:48:15 IST 2025","$@p1 Product CRUD Operations","productCRUD.spec.ts","",""
"","22","2. UPDATE - Modify Samsung product details","chromium","Fri Sep 19 00:05:44 IST 2025","failed","Fri Sep 19 00:05:44 IST 2025","","Evershop_DDF\databaseCRUD-Test-02.spec.ts","",""
"","2711","TC03 - Update Product Images","chromium","Mon Oct 20 13:46:46 IST 2025","passed","Mon Oct 20 13:46:49 IST 2025","Product CRUD Operations","productCRUD.spec.ts","",""
"","7311","TC01 - Create Product","chromium","Mon Oct 20 13:46:29 IST 2025","passed","Mon Oct 20 13:46:36 IST 2025","Product CRUD Operations","productCRUD.spec.ts","",""
"","7204","TC01 - Create Product","chromium","Mon Oct 20 13:52:03 IST 2025","passed","Mon Oct 20 13:52:10 IST 2025","@crudProduct CRUD Operations","productCRUD.spec.ts","",""
"","215","database testing","firefox","Fri Sep 19 18:11:21 IST 2025","passed","Fri Sep 19 18:11:21 IST 2025","","Evershop_DDF\databaseTest.spec.ts","",""
"","22599","@p1Add Product in Evershop","chromium","Wed Sep 17 15:52:37 IST 2025","failed","Wed Sep 17 15:53:00 IST 2025","","Evershop_DDF\admin-add-product.spec.ts","",""
"","311","TC04 - Database Verification","chromium","Mon Oct 20 13:52:23 IST 2025","passed","Mon Oct 20 13:52:23 IST 2025","@crudProduct CRUD Operations","productCRUD.spec.ts","",""
"","14891","User Registration Smoke Test","chromium","Wed Sep 17 15:50:48 IST 2025","failed","Wed Sep 17 15:51:03 IST 2025","@smokeEverShop Smoke Test Suite","Evershop_DDF\smoke-test.spec.ts","",""
"","21","Delete product","chromium","Fri Sep 19 00:48:06 IST 2025","passed","Fri Sep 19 00:48:06 IST 2025","Database CRUD operations for product_description table","Evershop_DDF\databaseCRUD-Test-02.spec.ts","",""
"","5062","Signup page and Admin validation","","Fri Sep 19 16:24:31 IST 2025","broken","Fri Sep 19 16:24:36 IST 2025","","","",""
"","5793","test","chromium","Fri Sep 19 16:42:01 IST 2025","passed","Fri Sep 19 16:42:06 IST 2025","","test-2.spec.ts","",""
"","0","TC02 - Update Product Name","firefox","Fri Oct 17 16:48:17 IST 2025","skipped","Fri Oct 17 16:48:17 IST 2025","$@p1 Product CRUD Operations","productCRUD.spec.ts","",""
